id,numMutations,sampleSize,numFeatures
0,0,1,88
1,0,1,88
2,0,1,88
3,0,1,88
4,0,1,88
5,0,1,88
6,0,1,88
7,0,1,88
8,0,1,88
9,0,1,88
10,0,1,88
11,0,1,88
12,0,1,88
13,0,1,88
14,0,1,88
15,0,1,88
16,0,1,88
17,0,1,88
18,0,1,88
19,0,1,88
20,0,1,88
21,0,1,88
22,0,1,88
23,0,1,88
24,0,1,88
25,0,1,88
26,0,1,88
27,0,1,88
28,0,1,88
29,0,1,88
30,0,1,88
31,0,1,88
32,0,1,88
33,0,1,88
34,0,1,88
35,0,1,88
36,0,1,88
37,0,1,88
38,0,1,88
39,0,1,88
40,0,1,88
41,0,1,88
42,0,1,88
43,0,1,88
44,0,1,88
45,0,1,88
46,0,1,88
47,0,1,88
48,0,1,88
49,0,1,88
50,0,1,88
51,0,1,88
52,0,1,88
53,0,1,88
54,0,1,88
55,0,1,88
56,0,1,88
57,0,1,88
58,0,1,88
59,0,1,88
60,0,1,88
61,0,1,88
62,0,1,88
63,0,1,88
64,0,1,88
65,0,1,88
66,0,1,88
67,0,1,88
68,0,1,88
69,0,1,88
70,0,1,88
71,0,1,88
72,0,1,88
73,0,1,88
74,0,1,88
75,0,1,88
76,0,1,88
77,0,1,88
78,0,1,88
79,0,1,88
80,0,1,88
81,0,1,88
82,0,1,88
83,0,1,88
84,0,1,88
85,0,1,88
86,0,1,88
87,0,1,88
88,0,1,88
89,0,1,88
90,0,1,88
91,0,1,88
92,0,1,88
93,0,1,88
94,0,1,88
95,0,1,88
96,0,1,88
97,0,1,88
98,0,1,88
99,0,1,88
100,0,10,88
101,0,10,88
102,0,10,88
103,0,10,88
104,0,10,88
105,0,10,88
106,0,10,88
107,0,10,88
108,0,10,88
109,0,10,88
110,0,10,88
111,0,10,88
112,0,10,88
113,0,10,88
114,0,10,88
115,0,10,88
116,0,10,88
117,0,10,88
118,0,10,88
119,0,10,88
120,0,10,88
121,0,10,88
122,0,10,88
123,0,10,88
124,0,10,88
125,0,10,88
126,0,10,88
127,0,10,88
128,0,10,88
129,0,10,88
130,0,10,88
131,0,10,88
